화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
7133,8,202606,7493,21694,522,118,74,105,27,장흥군,276,403,22373,전남,70,255,639,93,13956,14123,83,47
6442,9,202606,6694,18679,490,108,94,101,24,진도군,236,331,19246,전남,45,151,597,81,11672,11847,75,62
6670,14,202606,6967,20073,482,134,5793,92,27,함평군,228,6148,26449,전남,47,205,652,75,12828,18696,93,123
15813,11,202606,16204,43360,1581,194,109396,146,42,해남군,347,110463,154170,전남,77,245,2438,113,25825,135334,141,780
8012,10,202606,8689,35454,835,309,492,110,144,화순군,268,1999,37721,전남,51,567,1682,97,26452,27041,155,796
235299,269,202606,259663,1050452,24382,9865,244052,2819,5210,계,7260,278315,1336027,전남,1647,21545,33537,2525,786385,1032962,4386,7508
22082,17,202606,25091,146236,2797,876,913,129,400,경산시,390,4585,151211,경북,90,2880,3279,154,120898,121965,459,392
25790,20,202606,28072,152212,3395,993,1561,223,375,경주시,605,4508,157325,경북,137,2059,4045,225,122429,124215,598,513
6591,18,202606,7351,22008,605,159,35,76,54,고령군,186,828,23022,경북,31,684,691,61,14725,14821,87,55
25705,22,202606,29550,228440,4542,1236,2341,227,479,구미시,556,7253,236249,경북,103,3618,5460,204,197458,200003,735,815
15,0,202606,15,35,4,0,2,0,0,군위군,0,2,37,경북,0,0,4,0,16,18,0,0
17894,15,202606,19240,79653,1837,475,589,167,188,김천시,422,2236,82311,경북,79,1179,2196,161,59650,60400,272,280
10373,13,202606,10798,39167,1120,275,368,127,98,문경시,290,881,40338,경북,53,298,1290,97,27510,27975,164,117
7192,18,202606,7369,18990,383,96,46,90,15,봉화군,255,195,19440,경북,50,87,480,97,11352,11495,63,47
17343,17,202606,18594,56871,1501,420,367,205,176,상주시,432,1867,59170,경북,81,1046,1860,129,37800,38296,227,278
11496,18,202606,12543,33089,753,320,107,88,147,성주군,222,1260,34571,경북,40,959,840,76,20685,20868,155,47
19627,48,202606,21145,88673,1992,674,911,265,235,안동시,833,2704,92210,경북,209,1253,2506,311,66663,67885,391,305
6089,20,202606,6352,20195,586,137,89,127,30,영덕군,270,308,20773,경북,48,136,687,75,13433,13597,87,53
4084,8,202606,4208,11141,271,58,37,70,6,영양군,177,124,11442,경북,34,54,332,65,6742,6844,44,27
14654,27,202606,15538,58499,1472,441,460,152,152,영주시,377,1480,60356,경북,74,732,1682,124,42111,42695,262,136
16084,18,202606,17757,62861,1634,652,345,154,367,영천시,395,2463,65719,경북,80,1519,1946,143,44876,45364,267,232
8655,20,202606,8973,33025,686,199,174,110,51,예천군,302,517,33844,경북,60,208,830,112,23556,23842,128,84
1414,10,202606,1502,6109,251,41,262,61,4,울릉군,150,491,6750,경북,19,27,468,60,4417,4739,27,198
6697,24,202606,6942,29148,589,203,107,121,42,울진군,332,362,29842,경북,55,124,733,132,21725,21964,137,89
12393,11,202606,13423,33697,819,239,86,147,100,의성군,311,1144,35152,경북,66,883,960,87,20357,20530,128,75
7973,16,202606,8704,26907,597,298,156,93,173,청도군,237,1020,28164,경북,45,638,695,83,18228,18467,109,53
6233,13,202606,6439,17570,481,93,37,88,14,청송군,221,214,18005,경북,60,118,586,60,10790,10887,66,45
12875,14,202606,14655,70605,1669,592,294,113,300,칠곡군,295,2611,73511,경북,59,1667,2078,109,55783,56186,278,350
17548,13,202606,21786,123072,2631,2168,1474,215,1670,포항시 남구,456,7910,131438,경북,74,4023,3448,154,102408,104036,485,743
18180,30,202606,19424,156384,2699,811,2080,111,292,포항시 북구,401,3841,160626,경북,93,1133,3128,167,135016,137263,489,336
296987,430,202606,325471,1514587,33314,11456,12841,3159,5368,계,8115,48804,1571506,경북,1640,25325,40224,2886,1178628,1194355,5658,5270
11989,17,202606,12680,112619,2502,541,976,152,168,거제시,378,2144,115141,경남,78,539,3041,131,97772,98879,356,461
9329,16,202606,9689,35585,806,285,172,104,178,거창군,295,792,36672,경남,69,256,1061,106,25359,25637,91,186
7399,11,202606,7707,28051,644,227,173,93,64,고성군,234,541,28826,경남,65,215,798,65,19856,20094,152,89
40946,43,202606,46066,301157,5570,1512,2207,246,630,김해시,719,8337,310213,경남,155,4874,6351,275,253802,256284,839,626
6297,8,202606,6586,22354,524,111,141,137,28,남해군,299,425,23078,경남,54,152,682,100,15458,15699,75,104
13614,17,202606,16337,59590,1255,844,477,111,592,밀양시,332,3882,63804,경남,92,2612,1548,112,44486,45075,235,201
10485,18,202606,11218,62116,1354,339,628,140,117,사천시,344,1519,63979,경남,79,593,1614,107,50073,50808,204,181
7295,11,202606,7863,22065,465,313,53,100,149,산청군,266,724,23055,경남,60,468,579,95,14152,14300,153,54
22287,29,202606,29616,187024,3774,2182,1026,157,1471,양산시,465,10410,197899,경남,91,7172,4606,188,160281,161495,682,741
4556,13,202606,5209,15634,348,207,45,93,127,의령군,231,773,16638,경남,53,560,442,72,10663,10780,67,41
26481,34,202606,29173,175303,2910,1023,2612,289,440,진주시,715,6553,182571,경남,167,2403,4175,225,145363,148200,549,1098
10243,10,202606,10679,36757,911,242,193,95,75,창녕군,244,724,37725,경남,72,341,1098,67,25446,25706,157,115
10199,15,202606,11348,102097,1683,343,1281,138,152,창원시 마산합포구,367,2916,105380,경남,61,1011,2216,153,90039,91473,176,472
10615,4,202606,12222,109114,1641,477,5708,53,227,창원시 마산회원구,159,7896,117169,경남,28,1554,2076,74,96612,102394,246,407
10418,16,202606,11531,151265,1885,471,18990,141,200,창원시 성산구,627,20983,172875,경남,215,972,2921,255,138707,157952,255,821
17195,20,202606,18852,149868,2043,711,58859,126,352,창원시 의창구,562,61097,211527,경남,159,1531,2557,257,130291,189407,339,355
7661,12,202606,8917,97129,1680,643,729,90,323,창원시 진해구,237,2372,99738,경남,37,1166,1871,98,87480,88307,308,154
8624,15,202606,9117,53928,1463,274,657,123,73,통영시,325,1353,55606,경남,87,370,1803,100,43655,44412,186,253
7818,17,202606,8109,24873,495,204,84,117,86,하동군,266,390,25529,경남,73,174,614,59,16459,16602,101,46
10152,7,202606,10800,45191,924,424,28505,85,232,함안군,234,29509,74934,경남,55,563,1188,87,33930,62522,185,209
6917,18,202606,7171,24277,461,144,22054,114,32,함양군,255,22402,46934,경남,55,140,692,68,16805,38927,94,176
8273,15,202606,8816,25055,536,179,152,143,68,합천군,302,690,26047,경남,58,400,664,86,16150,16388,96,70
268793,366,202606,299706,1841052,33874,11696,145722,2847,5784,계,7856,186432,2035340,경남,1863,28066,42597,2780,1532839,1681341,5546,6860
26776,49,202606,27816,107365,2630,449,924,345,145,서귀포시,768,1904,110037,제주,127,695,2897,247,77704,78875,255,140
60615,40,202606,65033,326036,6538,1795,283864,701,547,제주시,1706,294506,622248,제주,347,3717,13263,618,257675,542157,1208,6378
87391,89,202606,92849,433401,9168,2244,284788,1046,692,계,2474,296410,732285,제주,474,4412,16160,865,335379,621032,1463,6518
17727,46,202606,19404,115672,2298,868,2150,266,386,강릉시,636,4442,120750,강원,141,1411,2934,183,95211,97544,436,495
3972,6,202606,4182,16914,404,107,114,104,31,고성군,208,287,17409,강원,41,106,481,57,12468,12639,70,36
6893,11,202606,7531,48082,1092,386,710,123,186,동해시,345,1577,50004,강원,83,515,1341,128,39908,40746,189,166
6682,14,202606,7058,34303,707,224,472,184,46,삼척시,420,827,35550,강원,98,192,922,124,26750,27346,164,117
5198,10,202606,5645,40494,980,250,797,125,85,속초시,348,1342,42184,강원,90,322,1208,123,34161,35081,155,138
3340,11,202606,3513,12794,272,85,65,116,20,양구군,236,177,13207,강원,54,57,361,55,9128,9248,54,35
4057,17,202606,4259,17234,364,125,190,133,21,양양군,235,306,17775,강원,37,69,427,48,12726,12964,87,26
6190,14,202606,6455,22005,570,202,149,126,59,영월군,354,403,22762,강원,82,139,708,132,15116,15397,129,56
26418,31,202606,28975,197346,3872,1171,2543,232,357,원주시,650,5719,203715,강원,154,2325,4520,233,166273,169049,783,494
5006,15,202606,5253,20457,420,141,84,126,30,인제군,251,292,21000,강원,52,121,529,58,14935,15077,96,57
6203,28,202606,6510,22612,492,191,220,146,35,정선군,392,494,23498,강원,101,161,671,117,15789,16126,128,78
6988,19,202606,7266,25118,583,138,188,142,22,철원군,289,397,25804,강원,68,136,702,60,17450,17698,97,51
18320,32,202606,21419,145458,2839,1002,2277,267,414,춘천시,905,6127,152490,강원,263,2832,3706,343,123743,126363,556,604
3283,16,202606,3545,19997,552,186,355,123,49,태백시,269,665,20931,강원,56,139,730,74,16041,16470,121,122
8667,25,202606,8918,27437,683,176,208,119,46,평창군,329,459,28225,강원,76,132,832,109,17982,18299,105,73
11678,26,202606,12323,41586,1064,278,298,185,66,홍천군,464,1092,43142,강원,115,460,1447,138,28658,29094,186,268
3311,10,202606,3459,13805,254,94,54,101,24,화천군,230,160,14195,강원,59,47,348,60,10180,10294,60,35
8730,12,202606,9125,29677,771,214,511,127,51,횡성군,292,915,30884,강원,64,268,920,89,20025,20625,151,85
152663,343,202606,164840,850991,18217,5838,11385,2745,1928,계,6853,25681,883525,강원,1634,9432,22787,2131,676544,690060,3567,2936
10673,15,202606,11135,32763,1204,203,160,156,62,고창군,356,621,33740,전북,65,306,1362,120,20760,21040,126,93
19200,22,202606,22731,141586,2697,1291,1900,213,718,군산시,572,6445,148603,전북,126,3318,3332,211,119138,121249,551,509
13999,8,202606,15212,52009,1406,458,490,151,159,김제시,353,1860,54222,전북,60,1062,1615,134,36313,36937,291,149
12402,24,202606,13053,43837,1067,302,376,188,77,남원시,457,1075,45369,전북,107,463,1333,138,30167,30681,201,159
4506,9,202606,4856,14542,431,96,56,103,38,무주군,224,393,15159,전북,39,247,522,73,9556,9685,49,52
