화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
13284,10,202606,17289,87449,1788,820,1929,109,443,대덕구,247,6816,94512,대전,42,3896,2378,86,72010,74025,367,548
12490,13,202606,14285,94034,2057,557,3068,99,224,동구,262,5437,99733,대전,57,1696,2563,93,79167,82328,320,449
18020,32,202606,20663,212163,3666,1056,27857,207,467,서구,872,31237,244272,대전,316,2436,4459,317,189920,218094,557,477
15248,28,202606,18106,200661,2793,1003,2225,418,307,유성구,666,5332,206659,대전,93,2440,3246,127,181952,184304,668,360
11647,8,202606,13876,98905,2165,584,2318,76,262,중구,238,5145,104288,대전,50,2153,2627,104,84779,87201,314,412
70689,91,202606,84219,693212,12469,4020,37397,909,1703,계,2285,53967,749464,대전,558,12621,15273,727,607828,645952,2226,2246
15897,21,202606,19473,160195,2462,1002,2799,244,613,남구,821,7317,168333,울산,208,3332,3243,348,141468,144615,368,573
4630,7,202606,5042,64635,1067,233,712,74,64,동구,199,1258,66092,울산,42,338,1253,76,58776,59564,162,144
11305,10,202606,13066,125162,1849,664,1533,91,347,북구,238,3880,129280,울산,36,1670,2215,101,111701,113335,307,330
21177,15,202606,25605,135976,2409,1542,1245,168,1035,울주군,449,7219,143644,울산,93,4260,3181,173,111898,113316,492,679
9735,6,202606,10767,103155,1688,563,1113,89,274,중구,354,2627,106136,울산,103,943,2088,156,91449,92718,283,297
62744,59,202606,73953,589123,9475,4004,7402,666,2333,계,2061,22301,613485,울산,482,10543,11980,854,515292,523548,1612,2023
14682,244,202606,16990,198383,2798,1058,3606,271,164,세종특별자치시,1105,6431,205919,세종,228,2037,3650,362,180253,184221,650,624
14682,244,202606,16990,198383,2798,1058,3606,271,164,계,1105,6431,205919,세종,228,2037,3650,362,180253,184221,650,624
6574,24,202606,6971,33724,979,221,161,160,50,가평군,430,595,34749,경기,76,237,1202,170,26024,26355,147,147
18535,23,202606,21526,196079,3508,716,1874,202,219,고양시 덕양구,701,5356,202136,경기,153,2789,4135,323,173562,175759,474,474
13026,14,202606,15224,133657,2158,576,3457,78,166,고양시 일산동구,279,6341,140277,경기,77,2120,2833,110,118077,121644,396,598
8833,2,202606,10377,114633,1868,386,2323,35,156,고양시 일산서구,133,4547,119313,경기,20,1509,2447,76,103704,106103,228,559
1965,15,202606,2693,32208,468,128,320,128,15,과천시,718,978,33904,경기,97,600,608,478,29677,30475,98,43
10043,11,202606,12549,112315,2105,469,1579,113,221,광명시,337,4600,117252,경기,66,2393,2578,147,99930,101656,237,407
30084,17,202606,35899,210898,4274,1153,848,127,370,광주시,447,9214,220559,경기,90,5688,6672,213,175774,176835,766,2308
8143,12,202606,9843,72264,1347,358,1182,97,143,구리시,279,3214,75757,경기,65,1603,1698,105,62571,63858,203,286
8616,12,202606,12425,96487,1790,446,811,89,237,군포시,306,4940,101733,경기,75,3720,2037,130,85884,86825,197,172
30508,9,202606,35342,239378,4367,1419,3473,208,652,김포시,585,10443,250406,경기,104,4626,6163,264,203745,207482,758,1692
41785,29,202606,48858,320894,6178,1665,2158,225,499,남양주시,834,10532,332260,경기,182,6848,7387,398,271794,274350,1137,1027
5266,11,202606,6039,38657,1095,186,633,81,50,동두천시,241,1451,40349,경기,44,692,1215,105,32171,32909,125,76
130,0,202606,135,270,38,1,1,0,1,부천시,4,17,291,경기,0,5,48,4,102,107,0,10
7891,1,202606,9218,82901,1834,361,1102,37,170,부천시 소사구,103,2673,85677,경기,18,1290,1963,47,72986,74135,190,111
9274,3,202606,11112,62819,1599,359,1510,35,166,부천시 오정구,108,3911,66838,경기,31,1803,2062,39,51756,53305,190,432
15061,24,202606,18572,146486,3068,594,2658,151,195,부천시 원미구,521,6775,153782,경기,146,3360,3776,200,127982,130840,375,562
7292,8,202606,9362,189556,2129,513,3837,101,140,성남시 분당구,369,7368,197293,경기,56,1969,3607,204,179770,183811,365,1422
7313,3,202606,8953,82844,1851,334,1997,81,157,성남시 수정구,313,3940,87097,경기,63,1559,2141,166,73506,75669,174,227
8342,19,202606,10057,72334,1802,352,2302,102,146,성남시 중원구,395,4369,77098,경기,55,1613,2165,219,62003,64524,187,308
19731,27,202606,23091,220037,4052,1180,5352,164,538,수원시 권선구,449,10978,231464,경기,156,3196,6100,102,195639,201093,615,1892
6474,2,202606,7939,154155,1805,391,2179,63,125,수원시 영통구,426,3865,158446,경기,102,1402,2066,259,145612,148050,264,159
8033,18,202606,10253,108893,2432,408,1093,98,121,수원시 장안구,554,3417,112864,경기,132,2122,2645,306,98159,99558,269,81
6135,16,202606,8266,82259,2032,282,10904,93,100,수원시 팔달구,399,13131,95789,경기,100,2038,2221,190,73926,85020,166,89
36607,24,202606,43138,272390,5608,1296,1999,155,514,시흥시,465,9342,282197,경기,103,6376,6164,183,229417,231599,758,453
22903,13,202606,27173,166938,4380,796,15364,226,310,안산시 단원구,601,20863,188402,경기,134,4044,5659,228,139182,154774,473,1145
17781,3,202606,20572,143423,3405,824,2015,34,346,안산시 상록구,158,5765,149346,경기,43,2757,4095,78,121762,123855,475,647
19623,16,202606,23068,122869,2798,1316,738,137,302,안성시,426,4933,128228,경기,88,3308,3471,185,99450,100373,998,585
9751,10,202606,13368,132743,1822,587,2098,129,163,안양시 동안구,414,6290,139447,경기,104,3488,2467,171,120756,123025,414,541
8851,0,202606,10506,87949,1903,337,1363,42,129,안양시 만안구,164,4041,92154,경기,29,1613,2868,93,76987,78443,208,936
20088,13,202606,23379,147733,3437,811,756,172,259,양주시,469,4703,152905,경기,90,3119,4096,194,123669,124619,539,569
12103,11,202606,13269,68799,1498,400,439,263,82,양평군,607,1935,71341,경기,90,903,2099,243,54891,55573,307,511
14325,9,202606,20852,71040,1870,720,360,212,361,여주시,504,7685,79229,경기,85,6315,2604,198,54495,55053,350,649
6534,8,202606,10785,26542,660,646,829,153,489,연천군,325,5695,32562,경기,67,4098,1006,97,19199,20125,149,279
10724,11,202606,13567,129056,2526,556,1408,66,188,오산시,242,4935,134233,경기,60,2777,3148,105,115449,116962,357,562
11315,14,202606,14996,203102,2961,919,4005,46,379,용인시 기흥구,148,8918,212168,경기,40,3635,3900,48,188300,192353,526,899
4652,0,202606,6041,150122,1571,269,843,21,45,용인시 수지구,59,2326,152507,경기,14,1368,1655,24,143675,144542,224,70
21792,19,202606,26778,158223,3499,1298,1725,231,487,용인시 처인구,829,8578,167630,경기,140,4755,5250,439,132140,134304,792,1611
5652,8,202606,7787,70700,1106,482,413,84,301,의왕시,302,2963,73965,경기,89,2051,1393,121,63769,64303,173,198
17489,29,202606,20874,176445,3880,861,1816,201,268,의정부시,769,5711,182925,경기,242,3184,4565,297,154512,156625,564,443
19013,15,202606,23440,128679,2938,1106,892,134,559,이천시,463,6686,135828,경기,85,4293,3965,229,106196,107317,532,942
31553,24,202606,38230,263471,4946,1073,2262,172,302,파주시,604,11507,275582,경기,99,6505,7483,309,226225,228796,747,2438
36443,24,202606,44706,351192,6956,2117,3938,258,970,평택시,836,15141,367169,경기,154,8005,9338,400,306670,311008,1123,2228
20863,19,202606,23421,91575,2443,776,4438,163,356,포천시,454,7960,99989,경기,74,2395,3288,198,67868,72504,401,771
14805,11,202606,17394,141113,2171,513,975,156,161,하남시,458,3931,145502,경기,82,2433,2615,209,123796,124980,341,362
1541,1,202606,1606,3818,310,27,90,7,11,화성시,12,192,4022,경기,2,58,345,2,1952,2044,15,33
8039,0,202606,10008,200682,2128,613,378,45,102,화성시 동탄구,153,2667,203502,경기,24,1924,2415,84,190004,190466,511,263
34505,61,202606,38606,173586,3513,1072,701,197,333,화성시 만세구,607,5809,180002,경기,113,3904,4497,236,134890,135827,678,871
7105,4,202606,8283,83480,1385,329,899,27,105,화성시 병점구,92,3370,86942,경기,15,1151,2615,46,74770,75715,220,1215
13865,12,202606,15608,93776,1731,510,451,32,160,화성시 효행구,169,2892,96837,경기,66,1711,2367,59,77842,78352,338,570
