stat_month,region_level,sido_name,sigungu_name,vehicle_type,use_type,registration_count,unit,source_measure_key,source_form_id,source_row_no,is_aggregate
202604,시군구,서울,강서구,passenger,official,137,대,승용>관용,5498,4,0
202604,시군구,서울,강서구,passenger,private,167047,대,승용>자가용,5498,4,0
202604,시군구,서울,강서구,passenger,total,178492,대,승용>계,5498,4,1
202604,시군구,서울,강서구,special,private,483,대,특수>자가용,5498,4,0
202604,시군구,서울,강서구,van,business,1408,대,승합>영업용,5498,4,0
202604,시군구,서울,관악구,truck,private,8459,대,화물>자가용,5498,5,0
202604,시군구,서울,관악구,special,official,12,대,특수>관용,5498,5,0
202604,시군구,서울,관악구,truck,total,10820,대,화물>계,5498,5,1
202604,시군구,서울,관악구,total,private,109161,대,총계>자가용,5498,5,1
202604,시군구,서울,관악구,van,private,2559,대,승합>자가용,5498,5,0
202604,시군구,서울,관악구,special,total,379,대,특수>계,5498,5,1
202604,시군구,서울,관악구,passenger,business,3132,대,승용>영업용,5498,5,0
202604,시군구,서울,관악구,truck,official,142,대,화물>관용,5498,5,0
202604,시군구,서울,관악구,special,business,166,대,특수>영업용,5498,5,0
202604,시군구,서울,관악구,total,official,286,대,총계>관용,5498,5,1
202604,시군구,서울,관악구,total,business,5875,대,총계>영업용,5498,5,1
202604,시군구,서울,관악구,total,total,115322,대,총계>계,5498,5,1
202604,시군구,서울,관악구,van,official,44,대,승합>관용,5498,5,0
202604,시군구,서울,관악구,truck,business,2219,대,화물>영업용,5498,5,0
202604,시군구,서울,관악구,van,total,2961,대,승합>계,5498,5,1
202604,시군구,서울,관악구,passenger,official,88,대,승용>관용,5498,5,0
202604,시군구,서울,관악구,passenger,private,97942,대,승용>자가용,5498,5,0
202604,시군구,서울,관악구,passenger,total,101162,대,승용>계,5498,5,1
202604,시군구,서울,관악구,special,private,201,대,특수>자가용,5498,5,0
202604,시군구,서울,관악구,van,business,358,대,승합>영업용,5498,5,0
202604,시군구,서울,광진구,truck,private,8242,대,화물>자가용,5498,6,0
202604,시군구,서울,광진구,special,official,9,대,특수>관용,5498,6,0
202604,시군구,서울,광진구,truck,total,9866,대,화물>계,5498,6,1
202604,시군구,서울,광진구,total,private,89926,대,총계>자가용,5498,6,1
202604,시군구,서울,광진구,van,private,1796,대,승합>자가용,5498,6,0
202604,시군구,서울,광진구,special,total,237,대,특수>계,5498,6,1
202604,시군구,서울,광진구,passenger,business,2928,대,승용>영업용,5498,6,0
202604,시군구,서울,광진구,truck,official,160,대,화물>관용,5498,6,0
202604,시군구,서울,광진구,special,business,90,대,특수>영업용,5498,6,0
202604,시군구,서울,광진구,total,official,296,대,총계>관용,5498,6,1
202604,시군구,서울,광진구,total,business,4812,대,총계>영업용,5498,6,1
202604,시군구,서울,광진구,total,total,95034,대,총계>계,5498,6,1
202604,시군구,서울,광진구,van,official,42,대,승합>관용,5498,6,0
202604,시군구,서울,광진구,truck,business,1464,대,화물>영업용,5498,6,0
202604,시군구,서울,광진구,van,total,2168,대,승합>계,5498,6,1
202604,시군구,서울,광진구,passenger,official,85,대,승용>관용,5498,6,0
202604,시군구,서울,광진구,passenger,private,79750,대,승용>자가용,5498,6,0
202604,시군구,서울,광진구,passenger,total,82763,대,승용>계,5498,6,1
202604,시군구,서울,광진구,special,private,138,대,특수>자가용,5498,6,0
202604,시군구,서울,광진구,van,business,330,대,승합>영업용,5498,6,0
202604,시군구,서울,구로구,truck,private,13166,대,화물>자가용,5498,7,0
202604,시군구,서울,구로구,special,official,6,대,특수>관용,5498,7,0
202604,시군구,서울,구로구,truck,total,15948,대,화물>계,5498,7,1
202604,시군구,서울,구로구,total,private,130301,대,총계>자가용,5498,7,1
202604,시군구,서울,구로구,van,private,3332,대,승합>자가용,5498,7,0
202604,시군구,서울,구로구,special,total,475,대,특수>계,5498,7,1
202604,시군구,서울,구로구,passenger,business,5549,대,승용>영업용,5498,7,0
202604,시군구,서울,구로구,truck,official,126,대,화물>관용,5498,7,0
202604,시군구,서울,구로구,special,business,166,대,특수>영업용,5498,7,0
202604,시군구,서울,구로구,total,official,302,대,총계>관용,5498,7,1
202604,시군구,서울,구로구,total,business,8919,대,총계>영업용,5498,7,1
202604,시군구,서울,구로구,total,total,139522,대,총계>계,5498,7,1
202604,시군구,서울,구로구,van,official,60,대,승합>관용,5498,7,0
202604,시군구,서울,구로구,truck,business,2656,대,화물>영업용,5498,7,0
202604,시군구,서울,구로구,van,total,3940,대,승합>계,5498,7,1
202604,시군구,서울,구로구,passenger,official,110,대,승용>관용,5498,7,0
202604,시군구,서울,구로구,passenger,private,113500,대,승용>자가용,5498,7,0
202604,시군구,서울,구로구,passenger,total,119159,대,승용>계,5498,7,1
202604,시군구,서울,구로구,special,private,303,대,특수>자가용,5498,7,0
202604,시군구,서울,구로구,van,business,548,대,승합>영업용,5498,7,0
202604,시군구,서울,금천구,truck,private,10227,대,화물>자가용,5498,8,0
202604,시군구,서울,금천구,special,official,13,대,특수>관용,5498,8,0
202604,시군구,서울,금천구,truck,total,12466,대,화물>계,5498,8,1
202604,시군구,서울,금천구,total,private,83870,대,총계>자가용,5498,8,1
202604,시군구,서울,금천구,van,private,2202,대,승합>자가용,5498,8,0
202604,시군구,서울,금천구,special,total,304,대,특수>계,5498,8,1
202604,시군구,서울,금천구,passenger,business,2859,대,승용>영업용,5498,8,0
202604,시군구,서울,금천구,truck,official,76,대,화물>관용,5498,8,0
202604,시군구,서울,금천구,special,business,92,대,특수>영업용,5498,8,0
202604,시군구,서울,금천구,total,official,178,대,총계>관용,5498,8,1
202604,시군구,서울,금천구,total,business,5548,대,총계>영업용,5498,8,1
202604,시군구,서울,금천구,total,total,89596,대,총계>계,5498,8,1
202604,시군구,서울,금천구,van,official,32,대,승합>관용,5498,8,0
202604,시군구,서울,금천구,truck,business,2163,대,화물>영업용,5498,8,0
202604,시군구,서울,금천구,van,total,2668,대,승합>계,5498,8,1
202604,시군구,서울,금천구,passenger,official,57,대,승용>관용,5498,8,0
202604,시군구,서울,금천구,passenger,private,71242,대,승용>자가용,5498,8,0
202604,시군구,서울,금천구,passenger,total,74158,대,승용>계,5498,8,1
202604,시군구,서울,금천구,special,private,199,대,특수>자가용,5498,8,0
202604,시군구,서울,금천구,van,business,434,대,승합>영업용,5498,8,0
202604,시군구,서울,노원구,truck,private,9291,대,화물>자가용,5498,9,0
202604,시군구,서울,노원구,special,official,12,대,특수>관용,5498,9,0
202604,시군구,서울,노원구,truck,total,11537,대,화물>계,5498,9,1
202604,시군구,서울,노원구,total,private,140121,대,총계>자가용,5498,9,1
202604,시군구,서울,노원구,van,private,2822,대,승합>자가용,5498,9,0
202604,시군구,서울,노원구,special,total,538,대,특수>계,5498,9,1
202604,시군구,서울,노원구,passenger,business,5601,대,승용>영업용,5498,9,0
202604,시군구,서울,노원구,truck,official,167,대,화물>관용,5498,9,0
202604,시군구,서울,노원구,special,business,241,대,특수>영업용,5498,9,0
202604,시군구,서울,노원구,total,official,312,대,총계>관용,5498,9,1
202604,시군구,서울,노원구,total,business,8630,대,총계>영업용,5498,9,1
202604,시군구,서울,노원구,total,total,149063,대,총계>계,5498,9,1
202604,시군구,서울,노원구,van,official,52,대,승합>관용,5498,9,0
202604,시군구,서울,노원구,truck,business,2079,대,화물>영업용,5498,9,0
202604,시군구,서울,노원구,van,total,3583,대,승합>계,5498,9,1
202604,시군구,서울,노원구,passenger,official,81,대,승용>관용,5498,9,0
202604,시군구,서울,노원구,passenger,private,127723,대,승용>자가용,5498,9,0
202604,시군구,서울,노원구,passenger,total,133405,대,승용>계,5498,9,1
202604,시군구,서울,노원구,special,private,285,대,특수>자가용,5498,9,0
202604,시군구,서울,노원구,van,business,709,대,승합>영업용,5498,9,0
202604,시군구,서울,도봉구,truck,private,7701,대,화물>자가용,5498,10,0
202604,시군구,서울,도봉구,special,official,12,대,특수>관용,5498,10,0
202604,시군구,서울,도봉구,truck,total,9896,대,화물>계,5498,10,1
202604,시군구,서울,도봉구,total,private,85390,대,총계>자가용,5498,10,1
202604,시군구,서울,도봉구,van,private,1984,대,승합>자가용,5498,10,0
202604,시군구,서울,도봉구,special,total,368,대,특수>계,5498,10,1
202604,시군구,서울,도봉구,passenger,business,4557,대,승용>영업용,5498,10,0
202604,시군구,서울,도봉구,truck,official,125,대,화물>관용,5498,10,0
202604,시군구,서울,도봉구,special,business,150,대,특수>영업용,5498,10,0
202604,시군구,서울,도봉구,total,official,276,대,총계>관용,5498,10,1
202604,시군구,서울,도봉구,total,business,7340,대,총계>영업용,5498,10,1
202604,시군구,서울,도봉구,total,total,93006,대,총계>계,5498,10,1
202604,시군구,서울,도봉구,van,official,48,대,승합>관용,5498,10,0
202604,시군구,서울,도봉구,truck,business,2070,대,화물>영업용,5498,10,0
202604,시군구,서울,도봉구,van,total,2595,대,승합>계,5498,10,1
202604,시군구,서울,도봉구,passenger,official,91,대,승용>관용,5498,10,0
202604,시군구,서울,도봉구,passenger,private,75499,대,승용>자가용,5498,10,0
202604,시군구,서울,도봉구,passenger,total,80147,대,승용>계,5498,10,1
202604,시군구,서울,도봉구,special,private,206,대,특수>자가용,5498,10,0
202604,시군구,서울,도봉구,van,business,563,대,승합>영업용,5498,10,0
202604,시군구,서울,동대문구,truck,private,9394,대,화물>자가용,5498,11,0
202604,시군구,서울,동대문구,special,official,15,대,특수>관용,5498,11,0
202604,시군구,서울,동대문구,truck,total,11759,대,화물>계,5498,11,1
202604,시군구,서울,동대문구,total,private,101286,대,총계>자가용,5498,11,1
202604,시군구,서울,동대문구,van,private,2231,대,승합>자가용,5498,11,0
202604,시군구,서울,동대문구,special,total,324,대,특수>계,5498,11,1
202604,시군구,서울,동대문구,passenger,business,2765,대,승용>영업용,5498,11,0
